MSCOCO;Visual Genome;Specificity Score
543194;712977;0.289685452411
62995;1160093;0.333557030823
140247;713718;0.34770812736
302141;498280;0.360565394772
71754;107909;0.362458978785
159601;1159621;0.366059222789
136185;1592094;0.370142333136
243947;713328;0.371664438087
580051;498170;0.37217353934
497273;150474;0.376031469476
163047;1159329;0.378750501662
300198;1159648;0.378924794837
486123;1592874;0.384207373045
190994;713380;0.386333571205
58684;713392;0.386725021722
545082;713418;0.38811954029
108701;285949;0.392876316969
251723;713679;0.395039644573
92136;1592568;0.399330346068
275672;1159609;0.40066145717
565211;1159470;0.401158498278
48759;713760;0.402076035826
139240;285859;0.405665846084
137220;1592378;0.406858509287
80441;1592079;0.41022660932
83770;713512;0.410315191777
94223;713829;0.412236792297
395863;1592286;0.412702180676
497227;1591954;0.413881432877
34491;713403;0.414489962154
508663;1592133;0.415760318932
389021;498388;0.416604371749
84214;1592303;0.416997148118
327625;1160140;0.417010776738
230851;1592362;0.418471519171
18627;1592519;0.418821598898
410707;107933;0.419202044703
147873;1592193;0.4205256419
54692;1592727;0.420531033477
14966;1593146;0.420675717406
532132;713730;0.421968739046
401229;1159446;0.42249312197
429672;498258;0.422670944352
186099;1160204;0.42295421317
356362;150277;0.429701810059
359656;713936;0.429951337233
512787;713112;0.430526113062
138501;150296;0.430701684088
345861;1591838;0.431901271782
273537;1592254;0.432047972507
473131;286058;0.432082707392
463567;1592934;0.432708258564
440291;285993;0.433022350449
449847;498405;0.433912916992
385805;1159572;0.440362155816
83029;1160180;0.441131946218
109386;1592305;0.441187123363
44372;1592351;0.442780746112
302424;1159897;0.443422152747
343282;1593084;0.44448657151
513758;498108;0.446978691904
51152;1159325;0.44703805678
384099;1592971;0.448220332561
70159;285807;0.449687684376
529667;713135;0.451114536305
352398;713689;0.451535623416
578890;1592137;0.451766588407
78286;1160167;0.451951835271
405849;1592129;0.453663788303
1424;285992;0.454189562074
221223;1159447;0.454527700274
238828;1160171;0.45504130315
522819;1592836;0.455178500281
256539;1159860;0.455682072837
166067;1592951;0.455855223844
259666;1159508;0.457877116746
460728;150374;0.458168353276
260604;713653;0.458824992508
218106;1592168;0.459550243992
90801;713779;0.46046117394
118199;1592350;0.461404291485
577717;1591977;0.46162109094
262603;1593006;0.464651115303
264256;1159397;0.465537150535
142263;1591909;0.466221408679
427384;1159882;0.468181799151
52153;1592581;0.468576272327
331298;713174;0.469459466112
288164;1159813;0.469991036771
291484;713211;0.470132385897
262937;497974;0.470292272645
47909;1593035;0.471303700088
298242;498032;0.472004017852
45026;1159365;0.472013245982
317331;1159855;0.472814639428
296882;713089;0.473203074818
